cat,lcat,along,x,y,elev
1,3,0,219111.224251906,5208173.9358924,
2,3,0.999946677187328,219110.448552387,5208173.30487448,
3,3,1.99989335437466,219109.672852869,5208172.67385656,
4,3,2.99984003156198,219108.89715335,5208172.04283864,
5,3,3.99978670874931,219108.121453831,5208171.41182072,
6,3,4.99973338593664,219107.345754313,5208170.7808028,
7,3,5.99968006312397,219106.570054794,5208170.14978488,
8,3,6.9996267403113,219105.794355275,5208169.51876696,
9,3,7.99957341749862,219105.018655757,5208168.88774904,
10,3,8.99952009468595,219104.242956238,5208168.25673113,
11,3,9.99946677187328,219103.46725672,5208167.62571321,
12,3,10.9994134490606,219102.691557201,5208166.99469529,
13,3,11.9993601262479,219101.915857682,5208166.36367737,
14,3,12.9993068034353,219101.140158164,5208165.73265945,
15,3,13.9992534806226,219100.364458645,5208165.10164153,
16,3,14.9992001578099,219099.588759126,5208164.47062361,
17,3,15.9991468349972,219098.813059608,5208163.83960569,
18,3,16.9990935121846,219098.037360089,5208163.20858777,
19,3,17.9990401893719,219097.26166057,5208162.57756986,
20,3,18.9989868665592,219096.485961052,5208161.94655194,
21,3,19.9989335437466,219095.710261533,5208161.31553402,
22,3,20.9988802209339,219094.934562014,5208160.6845161,
23,3,21.9988268981212,219094.158862496,5208160.05349818,
24,3,22.9987735753085,219093.383162977,5208159.42248026,
25,3,23.9987202524959,219092.607463459,5208158.79146234,
26,3,24.9986669296832,219091.83176394,5208158.16044442,
27,3,25.9986136068705,219091.056064421,5208157.5294265,
28,3,26.9985602840579,219090.280364903,5208156.89840859,
29,3,27.9985069612452,219089.504665384,5208156.26739067,
30,3,28.9984536384325,219088.728965865,5208155.63637275,
31,3,29.9984003156198,219087.953266347,5208155.00535483,
32,3,30.9983469928072,219087.177566828,5208154.37433691,
33,3,31.9982936699945,219086.401867309,5208153.74331899,
34,3,32.9982403471818,219085.626167791,5208153.11230107,
35,3,33.9981870243692,219084.850468272,5208152.48128315,
36,3,34.9981337015565,219084.074768754,5208151.85026523,
37,3,35.9980803787438,219083.299069235,5208151.21924731,
38,3,36.9980270559311,219082.523369716,5208150.5882294,
39,3,37.9979737331185,219081.747670198,5208149.95721148,
40,3,38.9979204103058,219080.971970679,5208149.32619356,
41,3,39.9978670874931,219080.19627116,5208148.69517564,
42,3,40.9978137646804,219079.420571642,5208148.06415772,
43,3,41.9977604418678,219078.644872123,5208147.4331398,
44,3,42.9977071190551,219077.869172604,5208146.80212188,
45,3,43.9976537962424,219077.093473086,5208146.17110396,
46,3,44.9976004734298,219076.317773567,5208145.54008604,
47,3,45.9975471506171,219075.542074049,5208144.90906813,
48,3,46.9974938278044,219074.76637453,5208144.27805021,
49,3,47.9974405049917,219073.990675011,5208143.64703229,
50,3,48.9973871821791,219073.214975493,5208143.01601437,
51,3,49.9973338593664,219072.439275974,5208142.38499645,
52,3,50.9972805365537,219071.663576455,5208141.75397853,
53,3,51.9972272137411,219070.887876937,5208141.12296061,
54,3,52.9971738909284,219070.112177418,5208140.49194269,
55,3,53.9971205681157,219069.336477899,5208139.86092477,
56,3,54.997067245303,219068.560778381,5208139.22990686,
57,3,55.9970139224904,219067.785078862,5208138.59888894,
58,3,56.9969605996777,219067.009379343,5208137.96787102,
59,3,57.996907276865,219066.233679825,5208137.3368531,
60,3,58.9968539540524,219065.457980306,5208136.70583518,
61,3,59.9968006312397,219064.682358885,5208136.0747528,
62,3,60.996747308427,219064.20980787,5208135.19350998,
63,3,61.9966939856143,219063.737256855,5208134.31226717,
64,3,62.9966406628017,219063.264705839,5208133.43102436,
65,3,63.996587339989,219062.792154824,5208132.54978155,
66,3,64.9965340171763,219062.319603809,5208131.66853873,
67,3,65.9964806943636,219061.847052794,5208130.78729592,
68,3,66.996427371551,219061.374501778,5208129.90605311,
69,3,67.9963740487383,219060.901950763,5208129.02481029,
70,3,68.9963207259256,219060.429399748,5208128.14356748,
71,3,69.996267403113,219059.956848733,5208127.26232467,
