cat,x,y
1,393785.217724061,4879944.28137251
2,393785.220309114,4879944.38133909
3,393808.984357683,4879982.29652744
4,393808.886267668,4879982.27707625
5,393315.796534719,4885637.79615337
6,393315.749968107,4885637.70765733
7,393293.832976995,4885593.20064728
8,393293.861144002,4885593.29659841
9,395923.283269462,4879153.36061568
10,395923.281931278,4879153.26062463
11,395924.281522228,4879103.82563126
12,395924.263128601,4879103.92392508
13,393780.179189915,4879710.75234011
14,393780.181774969,4879710.85230669
15,393781.466606589,4879760.53801987
16,393781.464021535,4879760.43805329
17,393328.217508409,4885734.15535387
18,393328.215902651,4885734.05536676
19,393327.915266622,4885684.57490187
20,393327.911454567,4885684.67482918
21,400092.100915297,4885154.02261703
22,400092.017147732,4885154.07723383
23,400049.593104328,4885179.84738602
24,400049.688623205,4885179.81778629
25,392098.199141048,4887233.53976034
26,392098.099141168,4887233.53991505
27,392048.43557265,4887233.72792654
28,392048.535554331,4887233.72601251
29,392507.991493309,4888608.94665608
30,392507.906781782,4888608.999797
31,392461.775571198,4888625.60983107
32,392461.864825627,4888625.56473509
33,396916.880129513,4890901.36510341
34,396916.961245267,4890901.30662064
35,396964.606169469,4890894.87826876
36,396964.506793699,4890894.88942476
37,393237.808364953,4884825.32172195
38,393237.832359976,4884825.22464343
39,393250.510200732,4884777.17908913
40,393250.484654215,4884777.27577096
41,390929.1900347,4881698.05540454
42,390929.183032541,4881698.15515909
43,390920.837755188,4881796.82309621
44,390920.847117078,4881796.7235354
45,389422.631088325,4879620.23886997
46,389422.646200882,4879620.33772143
47,389468.676147144,4879639.02475031
48,389468.585858345,4879639.0677379
49,388719.493649169,4878425.83783364
50,388719.553583108,4878425.91788315
51,388744.707720341,4878469.68505589
52,388744.749492284,4878469.59419828
53,399257.041742686,4884332.67448685
54,399257.040514275,4884332.57449439
55,399256.586683957,4884283.17033602
56,399256.577953675,4884283.26995421
57,393634.776327172,4885919.33030978
58,393634.775333155,4885919.23031472
59,393657.218612228,4885883.2766084
60,393657.119122993,4885883.28670256
61,396737.379776531,4878941.35107337
62,396737.297919153,4878941.29363323
63,396702.22646572,4878916.68364251
64,396702.308323096,4878916.74108265
65,398401.308277348,4879779.41934973
66,398401.220125338,4879779.37213508
67,398354.427948461,4879753.54249282
68,398354.509892551,4879753.59980919
69,393062.397805305,4888017.87539435
70,393062.367566222,4888017.97071275
71,393051.23005257,4888065.23946544
72,393051.267700698,4888065.14682301
73,393064.036895182,4888016.22315891
74,393063.966467484,4888016.29415144
75,393062.397805305,4888017.87539435
76,393062.468233002,4888017.80440182
77,396872.018050487,4887946.24242353
78,396872.018895392,4887946.34241996
79,396870.743744947,4887995.92911488
80,396870.766334285,4887995.83169968
81,390341.514713823,4880835.83753694
82,390341.614704616,4880835.83617997
83,390393.334435556,4880835.85260527
84,390393.236087092,4880835.83450611
85,401689.598204233,4885019.56604936
86,401689.507964537,4885019.52295879
87,401639.081662175,4885018.14174911
88,401639.17830052,4885018.1160386
89,390947.845623713,4881413.42354667
90,390947.843051139,4881413.52351357
91,390944.488602863,4881497.20230758
92,390944.506426917,4881497.10390889
93,400115.235818717,4886435.77366927
94,400115.149259769,4886435.82374469
95,400064.596684319,4886457.77779213
96,400064.682566982,4886457.7265655
97,402943.195538834,4884473.42119698
98,402943.124720635,4884473.35059398
99,402912.407592346,4884438.17435918
100,402912.454003599,4884438.26293681
101,401677.258711016,4881841.99700795
102,401677.163424592,4881841.96666826
103,401629.704664113,4881822.08254461
104,401629.787183927,4881822.13902895
105,400784.17317512,4879872.44972649
106,400784.174703918,4879872.34973818
107,400782.947285075,4879822.17159597
108,400782.940897756,4879822.27139177
109,397765.143346206,4884748.62090911
110,397765.091916744,4884748.53514775
111,397735.117549224,4884708.62815182
112,397735.19451147,4884708.69200175
113,398521.102511912,4887408.14390577
114,398521.003202845,4887408.13217082
115,398469.967804193,4887409.07881072
116,398470.058105483,4887409.03584937
117,402879.782224691,4884372.1656813
118,402879.733562043,4884372.07832028
119,402855.473569711,4884328.82224433
120,402855.506955291,4884328.91650674
121,402786.945005482,4884159.60317294
122,402786.920301573,4884159.50627239
123,402773.509475605,4884107.41721523
124,402773.534634215,4884107.51399873
125,398498.270909142,4885308.31889253
126,398498.170950785,4885308.3160069
127,398441.564035767,4885307.55135043
128,398441.663404143,4885307.54012876
129,393708.201778651,4887752.00628958
130,393708.101809165,4887752.00875978
131,393654.302445816,4887751.14196416
132,393654.400424851,4887751.16196688
133,395302.953549634,4887568.95040641
134,395302.853582945,4887568.95298731
135,395249.789138098,4887571.57202916
136,395249.885467865,4887571.54518561
137,402821.975533836,4884269.00804748
138,402821.924309799,4884268.92216327
139,402803.602880183,4884216.90217417
140,402803.657863751,4884216.98570146
141,399252.490569059,4883880.78498519
142,399252.489340719,4883880.68499273
143,399250.837873827,4883746.24806278
144,399250.839102167,4883746.34805524
145,406224.156121083,4887526.75838436
146,406224.089382845,4887526.83285588
147,406152.803380476,4887638.15359018
148,406152.830136789,4887638.05723614
149,402712.086590145,4883875.58917447
150,402712.061978175,4883875.49225053
151,402697.909063096,4883825.39490146
152,402697.914182827,4883825.49477031
153,393062.397805305,4888017.87539435
154,393062.300101596,4888017.89670128
155,393042.329667054,4888020.4198311
156,393042.429622858,4888020.41685836
